"","State","V1","V2","V3","V4","pctIn","MnIncome","MnIncomeIn","hhOut","MnIncomeOut","pctOut","deltaPct","deltaInc","Market.Pension.Debt.Household","Highest.Marg..Tax.Rate","State_Local.Sales.Tax","AvgWinterTemp","TAX_PROP","Estate","InherTax","MERICCOLIndex","StatePop","StateSpending","StateOpDef","totalPerwt","meanIncomeAll","pctRetiree","dolOut","dolIn","netDolvStSpend","netDolvOpInc","deathTax"
"35","New Hampshire",1219609,44140019876,21606,868523132,0.0177155137425191,36191.9433818543,40198.2380820143,25334,39094.9505013026,0.0207722311002953,-0.00305671735777614,1103.28758071166,33184,0.05,0,21.1,0.079,NA,NA,117,1334795,3444,24342000,5523855,40015.6487941845,0.220789466776373,239329776.398443,209871608.501298,-0.00142557916652847,-0.201696436181252,NA
"36","Iowa",2871235,92316908888,29134,964060655,0.0101468531833862,32152.3347576914,33090.5696093911,38295,33088.3977020499,0.0133374662819309,-0.0031906130985447,2.17190734120959,28749,0.0898,0.0679,21.7,0.092,NA,1,91,3134693,15429,775800000,12450319,33842.4407136877,0.230615376200401,319030603.934861,242727450.341145,-0.000824239566117005,-0.0163923591977562,1
"37","Michigan",9735494,310147640863,77545,2462537821,0.00796518389308236,31857.4117413045,31756.2424527694,111401,36408.0496853709,0.0114427680814143,-0.00347758418833189,-4651.80723260151,39611,0.0425,0.06,21.7,0.094,NA,NA,89,9928300,31232,607700000,40306135,31531.514245933,0.241538763267676,999056939.883889,606577987.401528,-0.00209442747012872,-0.107640544260425,NA
"38","Massachusetts",5500862,205585304621,47188,2029906768,0.00857829191134044,37373.2888810881,43017.4359582945,69451,45116.1264632619,0.0126254757890672,-0.0040471838777268,-2098.69050496739,65075,0.051,0.0625,27.4,0.103,NA,NA,133.4,6811779,45535,-2307510000,27760242,43155.1593057798,0.198156125584208,768860607.260056,498096388.865064,-0.000991047979191804,-0.0195567385330936,NA
"39","New Mexico",1915133,65140470623,33116,1266915559,0.0172917494502993,34013.5492537594,38256.9017695374,41501,37675.9414953857,0.0216700354492351,-0.00437828599893584,580.96027415173,60821,0.049,0.0751,36.1,0.087,NA,NA,96.5,2081015,10510,1027248000,8303354,29088.7717716239,0.230645712563863,391872089.149363,317518713.764629,-0.00117908936544139,-0.0120635223731651,NA
"40","Maryland",4728088,216365936460,59411,2567141698,0.0125655444653314,45761.8251733047,43209.8718755786,80279,50284.9702412835,0.0169791679004282,-0.00441362343509681,-7075.09836570493,52454,0.0575,0.06,34.7,0.109,1,1,125.5,6016447,28283,-7.31e+08,24049380,44014.1466401629,0.196599163886969,1009895325.85627,642223290.891782,-0.00216662562295661,-0.0838285533434771,1
"41","Montana",1033124,33675200537,18198,703489108,0.0176145361060241,32595.5069643141,38657.4957687658,23413,25458.3022252595,0.0226623328855007,-0.00504779677947662,13199.1935435063,39797,0.069,0,21.2,0.087,NA,NA,100.8,1042520,4194,418190000,4149312,31388.9295659136,0.24898681998365,149759646.509976,176752547.138456,0.00107267924926403,0.0107578296262784,NA
"42","South Dakota",755295,24254495758,12468,406471120,0.0165074573511012,32112.6126321504,32601.1485402631,16313,33480.0203518666,0.0215981834912187,-0.00509072614011744,-878.871811603534,27850,0,0.0584,19.5,0.071,NA,NA,103.7,865454,2542,330220000,3346357,32421.5395927571,0.22570664158068,141250914.419976,105123887.465826,-0.00236867472817662,-0.018233817330946,NA
"43","North Dakota",603767,21448522624,9913,380311240,0.0164185853151961,35524.5030351112,38364.8986179764,13284,33743.1665161096,0.0220018649578397,-0.0055832796426436,4621.73210186679,29354,0.0322,0.0682,12.2,0.09,NA,NA,99.4,757952,6074,3130018000,2923480,38708.6350541136,0.206523389932546,116213418.962759,98600867.7947104,-0.000483277114697865,-0.000937830132182893,NA
"44","Illinois",10202276,365608958316,70248,2504891302,0.00688552240696096,35836.0191702322,35657.8308563945,136373,40122.4799703754,0.0133669193031045,-0.00648139689614357,-4464.64911398088,84353,0.0375,0.0864,28.3,0.11,1,NA,94.6,12801539,51506,-5.2e+08,51880294,36677.9453153446,0.196650311966235,1350131029.10591,618085620.203189,-0.00236880301616225,-0.234629938750871,1
"45","Connecticut",3099205,129816199201,27576,1258752830,0.00889776571733719,41886.9352627529,45646.6793588628,50847,46576.3175801916,0.0164064655290631,-0.00750869981172591,-929.63822132878,81273,0.0699,0.0635,28.5,0.126,1,NA,127.7,3576452,21741,-1.848e+09,14764291,45747.3369372766,0.209912213190596,573680764.200668,304916035.342243,-0.00206035239760839,-0.0242392432231624,1
"46","New Jersey",7147852,283052389121,59820,2205650576,0.00836894776220884,39599.6432384162,36871.4573052491,115422,44281.6052918854,0.0161477881746852,-0.00777884041247636,-7410.14798663634,63297,0.0897,0.0697,33,0.122,1,1,121.9,8944469,39460,-3541200000,36159846,43578.1701664603,0.197673740092809,1264270320.88389,545587865.663591,-0.00303548933612224,-0.0338248077497412,1
"47","Hawaii",1248957,49268902051,13700,697651920,0.0109691526609803,39448.037082942,50923.497810219,23537,46005.3936355525,0.0188453245387952,-0.00787617187781485,4918.10417466644,67638,0.0825,0.0435,67.4,0.102,1,NA,167.9,1428557,9850,-117853000,5729058,35667.8878927391,0.218003902212196,270006496.063602,173961501.852388,-0.0016251268056043,-0.135825978423989,1
"48","New York",15939757,590935316062,81999,3651676704,0.00514430677958265,37073.0442165461,44533.1858193393,218473,39211.2365647014,0.0137061687954214,-0.00856186201583876,5321.9492546379,40812,0.0882,0.0849,23.3,0.127,1,NA,131,19745289,94624,3.028e+09,80736451,39121.8383313505,0.197429498108605,2095087426.65013,893071357.013791,-0.00211717969654693,-0.0661611663163992,1
"49","Wyoming",483602,17214870062,7958,386264220,0.0164556804975993,35597.1854169338,48537.8512188992,13834,47360.2884198352,0.0286061678818533,-0.012150487384254,1177.56279906404,46927,0,0.0542,21.2,0.071,NA,NA,91.8,585501,6539,2117410324,2318556,36087.4609054084,0.208578960352909,165452053.281107,97542645.9719843,-0.00173088156469191,-0.00534531943253169,NA
"50","District of Columbia",412351,23394405538,9797,655513340,0.0237588850275615,56734.2034771348,66909.5988567929,17758,56989.5286631377,0.0430652526609612,-0.0193063676333997,9920.07019365516,14020,0.0895,0.0575,35,0.106,1,NA,151.6,681170,0,0,2748641,54208.642609566,0.1500199553161,250799466.88509,162449742.18452,-Inf,-Inf,1
"51","Alaska",470964,21982138575,8429,408238923,0.0178973339788179,46674.7746643056,48432.6637798078,29720,33791.5451547779,0.0631046109681419,-0.045207276989324,14641.1186250299,110538,0,0.0178,2.6,0.065,NA,NA,131.1,741894,10633,6.112e+09,2881951,41254.26848097,0.163418462007161,258530700.051274,105092004.527545,-0.00240507062170803,-0.00418408310219592,NA
